"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln AGP","LAZ Year 2","842","-0.54","0.07","-1.29","-1.31","-0.02 (-0.11, 0.07)","0.66","0.9","-1.41","-1.43","-0.02 (-0.07, 0.04)","0.54","0.92"
"4","","WAZ Year 2","842","-0.54","0.07","-1.35","-1.38","-0.03 (-0.12, 0.05)","0.44","0.85","-1.66","-1.69","-0.04 (-0.11, 0.04)","0.34","0.77"
"5","","WLZ Year 2","842","-0.54","0.07","-0.96","-0.98","-0.02 (-0.11, 0.08)","0.76","0.9","-1.11","-1.13","-0.02 (-0.1, 0.07)","0.68","0.98"
"6","","HCZ Year 2","839","-0.54","0.06","-1.75","-1.8","-0.05 (-0.13, 0.03)","0.22","0.66","-1.42","-1.52","-0.1 (-0.18, -0.01)","0.03","0.46"
"7","","","","","","","","","","","","","","",""
"8","Ln CRP","LAZ Year 2","1387","-1.17","0.65","-1.31","-1.37","-0.05 (-0.12, 0.02)","0.14","0.63","-1.33","-1.41","-0.07 (-0.15, 0)","0.06","0.46"
"9","","WAZ Year 2","1387","-1.17","0.65","-1.39","-1.45","-0.06 (-0.13, 0.01)","0.08","0.48","-1.61","-1.66","-0.05 (-0.09, 0)","0.06","0.46"
"10","","WLZ Year 2","1387","-1.17","0.65","-0.96","-1","-0.03 (-0.1, 0.04)","0.41","0.85","-1.16","-1.17","0 (-0.07, 0.06)","0.94","0.99"
"11","","HCZ Year 2","1383","-1.17","0.64","-1.75","-1.82","-0.07 (-0.15, 0.01)","0.09","0.48","-1.49","-1.54","-0.04 (-0.09, 0)","0.04","0.46"
