"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Pro-inflammatory cytokines/IL-10","LAZ Year 2","633","1.52","2.09","-1.4","-1.41","-0.02 (-0.1, 0.07)","0.69","0.94"
"4","","WAZ Year 2","654","1.52","2.09","-1.85","-1.84","0 (-0.14, 0.14)","0.98","1"
"5","","WLZ Year 2","665","1.51","2.09","-1.17","-1.17","0 (-0.11, 0.12)","0.98","1"
"6","","HCZ Year 2","664","1.51","2.09","-1.67","-1.7","-0.03 (-0.13, 0.08)","0.62","0.9"
"7","","","","","","","","","",""
"8","Ln IL-2/IL-10","LAZ Year 2","627","-2.97","-1.63","-1.42","-1.45","-0.03 (-0.08, 0.02)","0.23","0.61"
"9","","WAZ Year 2","648","-2.97","-1.63","-1.78","-1.8","-0.02 (-0.07, 0.04)","0.58","0.9"
"10","","WLZ Year 2","659","-2.97","-1.63","-1.15","-1.17","-0.02 (-0.09, 0.05)","0.53","0.9"
"11","","HCZ Year 2","658","-2.96","-1.63","-1.72","-1.72","0 (-0.12, 0.12)","1","1"
"12","","","","","","","","","",""
"13","Ln GM-CSF/IL-10","LAZ Year 2","636","1.88","3.19","-1.42","-1.36","0.05 (-0.04, 0.15)","0.28","0.63"
"14","","WAZ Year 2","657","1.86","3.21","-1.81","-1.8","0.01 (-0.07, 0.09)","0.81","1"
"15","","WLZ Year 2","668","1.86","3.19","-1.17","-1.17","0 (-0.08, 0.07)","0.91","1"
"16","","HCZ Year 2","667","1.86","3.19","-1.71","-1.74","-0.03 (-0.18, 0.12)","0.72","0.96"
"17","","","","","","","","","",""
"18","Ln Th1/IL-10","LAZ Year 2","636","1.2","1.78","-1.39","-1.42","-0.03 (-0.08, 0.02)","0.23","0.61"
"19","","WAZ Year 2","657","1.2","1.78","-1.77","-1.86","-0.09 (-0.16, -0.01)","0.02","0.46"
"20","","WLZ Year 2","668","1.2","1.77","-1.14","-1.21","-0.08 (-0.15, 0)","0.05","0.46"
"21","","HCZ Year 2","667","1.2","1.77","-1.68","-1.72","-0.04 (-0.09, 0.01)","0.16","0.53"
"22","","","","","","","","","",""
"23","Ln Th2/IL-10","LAZ Year 2","634","1.12","1.77","-1.41","-1.41","0 (-0.09, 0.1)","0.93","1"
"24","","WAZ Year 2","655","1.12","1.77","-1.78","-1.83","-0.04 (-0.19, 0.1)","0.58","0.9"
"25","","WLZ Year 2","666","1.11","1.76","-1.06","-1.16","-0.11 (-0.27, 0.06)","0.22","0.61"
"26","","HCZ Year 2","665","1.12","1.76","-1.7","-1.76","-0.05 (-0.12, 0.01)","0.1","0.46"
"27","","","","","","","","","",""
"28","Ln Th17/IL-10","LAZ Year 2","627","0.63","1.3","-1.47","-1.43","0.03 (-0.07, 0.14)","0.56","0.9"
"29","","WAZ Year 2","647","0.63","1.3","-1.87","-1.8","0.07 (-0.08, 0.21)","0.39","0.78"
"30","","WLZ Year 2","658","0.63","1.3","-1.19","-1.13","0.06 (-0.11, 0.23)","0.52","0.9"
"31","","HCZ Year 2","657","0.63","1.3","-1.69","-1.72","-0.03 (-0.11, 0.05)","0.54","0.9"
"32","","","","","","","","","",""
"33","Ln Th1/Th2","LAZ Year 2","637","-0.16","0.29","-1.45","-1.35","0.1 (-0.02, 0.23)","0.11","0.46"
"34","","WAZ Year 2","658","-0.17","0.29","-1.85","-1.76","0.09 (-0.04, 0.22)","0.17","0.55"
"35","","WLZ Year 2","670","-0.17","0.29","-1.16","-1.15","0.01 (-0.05, 0.06)","0.85","1"
"36","","HCZ Year 2","669","-0.17","0.29","-1.74","-1.68","0.06 (-0.02, 0.15)","0.15","0.53"
"37","","","","","","","","","",""
"38","Ln Th1/Th17","LAZ Year 2","631","0.31","0.76","-1.35","-1.41","-0.06 (-0.17, 0.05)","0.27","0.63"
"39","","WAZ Year 2","651","0.31","0.76","-1.81","-1.91","-0.1 (-0.22, 0.02)","0.1","0.46"
"40","","WLZ Year 2","663","0.31","0.76","-1.14","-1.21","-0.07 (-0.2, 0.06)","0.29","0.63"
"41","","HCZ Year 2","662","0.31","0.75","-1.66","-1.66","0 (-0.05, 0.05)","0.95","1"
"42","","","","","","","","","",""
"43","Ln IFN-y","LAZ Year 2","640","1.63","2.33","-1.42","-1.42","-0.01 (-0.14, 0.12)","0.9","1"
"44","","WAZ Year 2","661","1.63","2.33","-1.84","-1.8","0.04 (-0.1, 0.18)","0.61","0.9"
"45","","WLZ Year 2","673","1.63","2.32","-1.22","-1.22","0.01 (-0.17, 0.18)","0.94","1"
"46","","HCZ Year 2","672","1.63","2.32","-1.79","-1.65","0.14 (-0.03, 0.3)","0.1","0.46"
"47","","","","","","","","","",""
"48","Sum score of 13 cytokines","LAZ Year 2","640","-0.63","0.7","-1.41","-1.41","0.01 (-0.06, 0.08)","0.85","1"
"49","","WAZ Year 2","661","-0.63","0.7","-1.82","-1.79","0.04 (-0.03, 0.1)","0.27","0.63"
"50","","WLZ Year 2","673","-0.63","0.69","-1.2","-1.14","0.06 (-0.01, 0.13)","0.12","0.47"
"51","","HCZ Year 2","672","-0.63","0.69","-1.71","-1.66","0.05 (-0.01, 0.12)","0.1","0.46"
