"","name","Outcome","N","25th Percentile","75th Percentile","Outcome, 75th Percentile v. 25th Percentile"," "," "," "
"1"," "," "," "," "," ","Adjusted"," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value"
"3","Ln Pro-inflammatory cytokines/IL-10","LAZ Year 1","567","0.96","1.55","-1.37","-1.37","0 (-0.08, 0.08)","0.99"
"4","","WAZ Year 1","568","0.95","1.55","-1.11","-1.15","-0.04 (-0.11, 0.02)","0.22"
"5","","WLZ Year 1","567","0.95","1.55","-0.63","-0.68","-0.05 (-0.11, 0.02)","0.17"
"6","","HCZ Year 1","567","0.95","1.55","-1.73","-1.78","-0.04 (-0.23, 0.14)","0.65"
"7","","","","","","","","",""
"8","Ln IL-2/IL-10","LAZ Year 1","562","-3.21","-1.93","-1.35","-1.35","0 (-0.07, 0.08)","0.94"
"9","","WAZ Year 1","563","-3.22","-1.94","-1.03","-1.05","-0.02 (-0.1, 0.06)","0.67"
"10","","WLZ Year 1","562","-3.22","-1.94","-0.6","-0.64","-0.03 (-0.11, 0.05)","0.43"
"11","","HCZ Year 1","562","-3.21","-1.93","-1.68","-1.7","-0.02 (-0.1, 0.05)","0.53"
"12","","","","","","","","",""
"13","Ln GM-CSF/IL-10","LAZ Year 1","571","1.17","2.36","-1.39","-1.41","-0.02 (-0.1, 0.07)","0.75"
"14","","WAZ Year 1","572","1.17","2.36","-1.12","-1.14","-0.02 (-0.11, 0.07)","0.7"
"15","","WLZ Year 1","571","1.17","2.36","-0.72","-0.69","0.03 (-0.1, 0.16)","0.67"
"16","","HCZ Year 1","571","1.17","2.36","-1.71","-1.66","0.05 (-0.03, 0.14)","0.23"
"17","","","","","","","","",""
"18","Ln Th1/IL-10","LAZ Year 1","570","0.86","1.34","-1.38","-1.38","-0.01 (-0.08, 0.07)","0.88"
"19","","WAZ Year 1","571","0.86","1.34","-1.13","-1.17","-0.03 (-0.11, 0.04)","0.39"
"20","","WLZ Year 1","570","0.86","1.34","-0.64","-0.69","-0.06 (-0.12, 0.01)","0.08"
"21","","HCZ Year 1","570","0.85","1.34","-1.68","-1.69","-0.01 (-0.07, 0.05)","0.74"
"22","","","","","","","","",""
"23","Ln Th2/IL-10","LAZ Year 1","568","0.5","1.19","-1.37","-1.39","-0.02 (-0.09, 0.06)","0.63"
"24","","WAZ Year 1","569","0.5","1.19","-1.08","-1.13","-0.05 (-0.13, 0.03)","0.25"
"25","","WLZ Year 1","568","0.5","1.19","-0.64","-0.65","-0.01 (-0.14, 0.12)","0.85"
"26","","HCZ Year 1","568","0.5","1.19","-1.7","-1.68","0.02 (-0.05, 0.09)","0.63"
"27","","","","","","","","",""
"28","Ln Th17/IL-10","LAZ Year 1","562","0.34","1.07","-1.36","-1.35","0.02 (-0.1, 0.14)","0.79"
"29","","WAZ Year 1","563","0.35","1.07","-1.09","-1.14","-0.05 (-0.13, 0.02)","0.16"
"30","","WLZ Year 1","562","0.35","1.07","-0.67","-0.65","0.02 (-0.11, 0.15)","0.78"
"31","","HCZ Year 1","562","0.35","1.07","-1.74","-1.64","0.1 (-0.1, 0.29)","0.33"
"32","","","","","","","","",""
"33","Ln Th1/Th2","LAZ Year 1","568","0.06","0.5","-1.38","-1.38","0 (-0.07, 0.07)","0.95"
"34","","WAZ Year 1","569","0.06","0.5","-1.19","-1.11","0.08 (-0.04, 0.21)","0.2"
"35","","WLZ Year 1","568","0.06","0.5","-0.71","-0.66","0.05 (-0.09, 0.18)","0.5"
"36","","HCZ Year 1","568","0.06","0.5","-1.72","-1.82","-0.1 (-0.31, 0.11)","0.36"
"37","","","","","","","","",""
"38","Ln Th1/Th17","LAZ Year 1","563","0.17","0.69","-1.4","-1.4","-0.01 (-0.08, 0.07)","0.89"
"39","","WAZ Year 1","564","0.17","0.69","-1.12","-1.1","0.01 (-0.06, 0.09)","0.74"
"40","","WLZ Year 1","563","0.17","0.69","-0.66","-0.66","0.01 (-0.17, 0.19)","0.94"
"41","","HCZ Year 1","563","0.17","0.69","-1.68","-1.81","-0.12 (-0.34, 0.09)","0.25"
"42","","","","","","","","",""
"43","Ln IFN-y","LAZ Year 1","573","1.73","2.35","-1.39","-1.37","0.02 (-0.06, 0.1)","0.59"
"44","","WAZ Year 1","574","1.73","2.35","-1.12","-1.1","0.02 (-0.06, 0.11)","0.59"
"45","","WLZ Year 1","573","1.74","2.35","-0.68","-0.66","0.02 (-0.07, 0.1)","0.71"
"46","","HCZ Year 1","573","1.73","2.35","-1.69","-1.72","-0.03 (-0.11, 0.05)","0.47"
"47","","","","","","","","",""
"48","Sum score of 13 cytokines","LAZ Year 1","573","-0.64","0.67","-1.39","-1.37","0.02 (-0.07, 0.11)","0.68"
"49","","WAZ Year 1","574","-0.64","0.67","-1.12","-1.09","0.03 (-0.07, 0.12)","0.59"
"50","","WLZ Year 1","573","-0.64","0.67","-0.69","-0.65","0.03 (-0.06, 0.13)","0.51"
"51","","HCZ Year 1","573","-0.64","0.67","-1.7","-1.73","-0.03 (-0.12, 0.06)","0.48"
