"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Fully adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Pro-inflammatory cytokines/IL-10","Change in LAZ Year 1 to Year 2","520","0.96","1.55","-0.03","-0.03","-0.01 (-0.05, 0.04)","0.8","0.98","-0.2","-0.2","-0.01 (-0.05, 0.04)","0.82","0.97"
"4","","Change in WAZ from Year 1 to Year 2","522","0.96","1.55","-0.16","-0.22","-0.06 (-0.19, 0.07)","0.38","0.98","-0.28","-0.28","0 (-0.11, 0.11)","0.98","1"
"5","","Change in WLZ from Year 1 to Year 2","520","0.96","1.55","-0.2","-0.22","-0.03 (-0.18, 0.12)","0.72","0.98","0","-0.02","-0.02 (-0.17, 0.13)","0.83","0.97"
"6","","Change in HCZ from Year 1 to Year 2","518","0.97","1.56","-0.01","-0.04","-0.03 (-0.1, 0.05)","0.51","0.98","-0.15","-0.2","-0.06 (-0.17, 0.06)","0.33","0.89"
"7","","","","","","","","","","","","","","",""
"8","Ln IL-2/IL-10","Change in LAZ Year 1 to Year 2","515","-3.21","-1.93","-0.02","-0.04","-0.01 (-0.06, 0.03)","0.58","0.98","-0.18","-0.2","-0.02 (-0.07, 0.03)","0.49","0.96"
"9","","Change in WAZ from Year 1 to Year 2","517","-3.2","-1.92","-0.25","-0.26","-0.01 (-0.06, 0.03)","0.57","0.98","-0.32","-0.34","-0.02 (-0.06, 0.03)","0.49","0.96"
"10","","Change in WLZ from Year 1 to Year 2","515","-3.21","-1.93","-0.27","-0.28","-0.01 (-0.07, 0.05)","0.73","0.98","-0.11","-0.13","-0.02 (-0.09, 0.04)","0.49","0.96"
"11","","Change in HCZ from Year 1 to Year 2","513","-3.2","-1.92","-0.05","0.1","0.14 (0, 0.29)","0.05","0.42","-0.19","-0.12","0.07 (-0.07, 0.2)","0.35","0.9"
"12","","","","","","","","","","","","","","",""
"13","Ln GM-CSF/IL-10","Change in LAZ Year 1 to Year 2","523","1.17","2.35","-0.05","0.01","0.06 (0.01, 0.11)","0.01","0.3","-0.22","-0.17","0.06 (0.01, 0.11)","0.02","0.37"
"14","","Change in WAZ from Year 1 to Year 2","525","1.17","2.34","-0.28","-0.23","0.05 (0, 0.1)","0.05","0.42","-0.34","-0.32","0.03 (-0.02, 0.08)","0.32","0.89"
"15","","Change in WLZ from Year 1 to Year 2","523","1.17","2.35","-0.31","-0.17","0.14 (-0.03, 0.31)","0.11","0.58","-0.13","-0.04","0.1 (-0.07, 0.26)","0.27","0.88"
"16","","Change in HCZ from Year 1 to Year 2","521","1.18","2.36","0","-0.02","-0.02 (-0.14, 0.11)","0.81","0.98","-0.2","-0.2","0 (-0.08, 0.08)","1","1"
"17","","","","","","","","","","","","","","",""
"18","Ln Th1/IL-10","Change in LAZ Year 1 to Year 2","522","0.86","1.35","-0.04","-0.02","0.01 (-0.03, 0.06)","0.48","0.98","-0.19","-0.19","0 (-0.04, 0.04)","0.92","1"
"19","","Change in WAZ from Year 1 to Year 2","524","0.86","1.35","-0.24","-0.27","-0.02 (-0.08, 0.03)","0.42","0.98","-0.32","-0.33","-0.01 (-0.05, 0.03)","0.61","0.96"
"20","","Change in WLZ from Year 1 to Year 2","522","0.86","1.35","-0.25","-0.28","-0.03 (-0.09, 0.04)","0.47","0.98","-0.04","-0.15","-0.12 (-0.29, 0.06)","0.19","0.82"
"21","","Change in HCZ from Year 1 to Year 2","520","0.86","1.35","-0.06","-0.01","0.05 (0.01, 0.09)","0.01","0.3","-0.25","-0.24","0 (0, 0)","0","0.08"
"22","","","","","","","","","","","","","","",""
"23","Ln Th2/IL-10","Change in LAZ Year 1 to Year 2","521","0.5","1.21","-0.03","-0.04","-0.01 (-0.06, 0.04)","0.7","0.98","-0.19","-0.2","-0.01 (-0.06, 0.04)","0.68","0.96"
"24","","Change in WAZ from Year 1 to Year 2","523","0.5","1.21","-0.22","-0.27","-0.05 (-0.12, 0.02)","0.15","0.7","-0.32","-0.33","-0.01 (-0.05, 0.03)","0.68","0.96"
"25","","Change in WLZ from Year 1 to Year 2","521","0.5","1.21","-0.22","-0.28","-0.06 (-0.15, 0.04)","0.23","0.8","-0.07","-0.09","-0.02 (-0.1, 0.05)","0.55","0.96"
"26","","Change in HCZ from Year 1 to Year 2","519","0.5","1.21","-0.04","-0.03","0.01 (-0.03, 0.06)","0.57","0.98","-0.22","-0.1","0.12 (-0.01, 0.26)","0.08","0.71"
"27","","","","","","","","","","","","","","",""
"28","Ln Th17/IL-10","Change in LAZ Year 1 to Year 2","515","0.35","1.07","-0.05","-0.05","0 (-0.05, 0.05)","0.99","0.99","-0.21","-0.21","-0.01 (-0.05, 0.04)","0.75","0.97"
"29","","Change in WAZ from Year 1 to Year 2","517","0.34","1.07","-0.26","-0.26","0 (-0.05, 0.04)","0.87","0.98","-0.32","-0.32","-0.01 (-0.05, 0.04)","0.83","0.97"
"30","","Change in WLZ from Year 1 to Year 2","515","0.35","1.07","-0.25","-0.25","0 (-0.08, 0.07)","0.95","0.98","-0.11","-0.12","-0.01 (-0.08, 0.05)","0.67","0.96"
"31","","Change in HCZ from Year 1 to Year 2","513","0.35","1.07","-0.02","-0.03","-0.01 (-0.08, 0.06)","0.76","0.98","-0.16","-0.24","-0.08 (-0.16, 0.01)","0.07","0.71"
"32","","","","","","","","","","","","","","",""
"33","Ln Th1/Th2","Change in LAZ Year 1 to Year 2","521","0.03","0.5","-0.03","-0.01","0.02 (-0.02, 0.06)","0.43","0.98","-0.19","-0.18","0.01 (-0.04, 0.05)","0.81","0.97"
"34","","Change in WAZ from Year 1 to Year 2","523","0.03","0.5","-0.26","-0.24","0.02 (-0.02, 0.06)","0.33","0.98","-0.32","-0.32","-0.01 (-0.05, 0.04)","0.82","0.97"
"35","","Change in WLZ from Year 1 to Year 2","521","0.03","0.5","-0.26","-0.26","0.01 (-0.07, 0.08)","0.85","0.98","-0.11","-0.12","-0.01 (-0.09, 0.06)","0.77","0.97"
"36","","Change in HCZ from Year 1 to Year 2","519","0.03","0.5","-0.05","0","0.05 (0, 0.09)","0.04","0.42","-0.23","-0.19","0.03 (-0.01, 0.08)","0.11","0.72"
"37","","","","","","","","","","","","","","",""
"38","Ln Th1/Th17","Change in LAZ Year 1 to Year 2","515","0.18","0.7","-0.05","-0.03","0.01 (-0.03, 0.06)","0.53","0.98","-0.21","-0.2","0.01 (-0.03, 0.05)","0.65","0.96"
"39","","Change in WAZ from Year 1 to Year 2","517","0.18","0.7","-0.17","-0.26","-0.09 (-0.22, 0.05)","0.21","0.8","-0.25","-0.33","-0.08 (-0.21, 0.06)","0.27","0.88"
"40","","Change in WLZ from Year 1 to Year 2","515","0.18","0.7","-0.15","-0.23","-0.08 (-0.25, 0.1)","0.41","0.98","-0.04","-0.08","-0.04 (-0.21, 0.14)","0.68","0.96"
"41","","Change in HCZ from Year 1 to Year 2","513","0.18","0.7","0","-0.02","-0.02 (-0.14, 0.09)","0.71","0.98","-0.15","-0.12","0.03 (-0.09, 0.14)","0.67","0.96"
"42","","","","","","","","","","","","","","",""
"43","Ln AGP","Change in LAZ Year 1 to Year 2","470","6.62","7.24","-0.04","-0.04","0 (-0.06, 0.06)","0.96","0.98","-0.15","-0.14","0.02 (-0.05, 0.08)","0.64","0.96"
