"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Fully adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Pro-inflammatory cytokines/IL-10","LAZ Year 1","588","0.95","1.54","-1.27","-1.29","-0.02 (-0.09, 0.06)","0.64","0.94","-1.27","-1.27","0 (-0.08, 0.07)","0.91","0.96"
"4","","WAZ Year 1","590","0.95","1.54","-1.27","-1.21","0.06 (-0.21, 0.34)","0.67","0.94","-1.09","-1.13","-0.04 (-0.11, 0.02)","0.2","0.96"
"5","","WLZ Year 1","588","0.95","1.54","-0.78","-0.79","-0.01 (-0.14, 0.12)","0.89","0.95","-0.65","-0.69","-0.05 (-0.11, 0.02)","0.17","0.96"
"6","","HCZ Year 1","588","0.95","1.54","-1.8","-1.87","-0.07 (-0.28, 0.14)","0.53","0.94","-1.75","-1.79","-0.04 (-0.23, 0.15)","0.7","0.96"
"7","","","","","","","","","","","","","","",""
"8","Ln IL-2/IL-10","LAZ Year 1","583","-3.24","-1.94","-1.27","-1.3","-0.03 (-0.11, 0.06)","0.57","0.94","-1.25","-1.26","-0.01 (-0.09, 0.06)","0.79","0.96"
"9","","WAZ Year 1","585","-3.25","-1.94","-1.13","-1.16","-0.03 (-0.12, 0.06)","0.56","0.94","-1.02","-1.05","-0.03 (-0.11, 0.05)","0.48","0.96"
"10","","WLZ Year 1","583","-3.24","-1.94","-0.74","-0.76","-0.02 (-0.11, 0.06)","0.58","0.94","-0.62","-0.65","-0.03 (-0.11, 0.05)","0.43","0.96"
"11","","HCZ Year 1","583","-3.24","-1.94","-1.76","-1.76","0 (-0.08, 0.09)","0.92","0.96","-1.68","-1.7","-0.02 (-0.09, 0.06)","0.66","0.96"
"12","","","","","","","","","","","","","","",""
"13","Ln GM-CSF/IL-10","LAZ Year 1","592","1.17","2.36","-1.26","-1.3","-0.03 (-0.13, 0.07)","0.55","0.94","-1.29","-1.3","-0.01 (-0.1, 0.08)","0.84","0.96"
"14","","WAZ Year 1","594","1.17","2.36","-1.13","-1.15","-0.02 (-0.13, 0.08)","0.68","0.94","-1.12","-1.13","-0.01 (-0.11, 0.08)","0.77","0.96"
"15","","WLZ Year 1","592","1.17","2.36","-0.76","-0.77","-0.01 (-0.14, 0.11)","0.84","0.95","-0.74","-0.7","0.04 (-0.09, 0.17)","0.57","0.96"
"16","","HCZ Year 1","592","1.18","2.36","-1.8","-1.73","0.07 (-0.03, 0.16)","0.15","0.65","-1.72","-1.67","0.05 (-0.04, 0.13)","0.28","0.96"
"17","","","","","","","","","","","","","","",""
"18","Ln Th1/IL-10","LAZ Year 1","591","0.85","1.34","-1.3","-1.28","0.02 (-0.12, 0.15)","0.8","0.95","-1.28","-1.29","-0.01 (-0.09, 0.07)","0.8","0.96"
"19","","WAZ Year 1","593","0.84","1.34","-1.16","-1.15","0.01 (-0.11, 0.14)","0.87","0.95","-1.09","-1.13","-0.04 (-0.12, 0.03)","0.26","0.96"
"20","","WLZ Year 1","591","0.85","1.34","-0.75","-0.76","-0.02 (-0.12, 0.09)","0.76","0.95","-0.65","-0.71","-0.06 (-0.12, 0.01)","0.08","0.77"
"21","","HCZ Year 1","591","0.84","1.34","-1.76","-1.76","-0.01 (-0.08, 0.06)","0.88","0.95","-1.7","-1.71","-0.01 (-0.07, 0.06)","0.82","0.96"
"22","","","","","","","","","","","","","","",""
"23","Ln Th2/IL-10","LAZ Year 1","589","0.5","1.17","-1.29","-1.27","0.02 (-0.06, 0.11)","0.63","0.94","-1.25","-1.28","-0.02 (-0.1, 0.05)","0.55","0.96"
"24","","WAZ Year 1","591","0.5","1.17","-1.19","-1.14","0.06 (-0.09, 0.21)","0.47","0.94","-1.05","-1.09","-0.05 (-0.13, 0.03)","0.23","0.96"
"25","","WLZ Year 1","589","0.5","1.17","-0.8","-0.75","0.04 (-0.1, 0.19)","0.56","0.94","-0.65","-0.67","-0.02 (-0.15, 0.11)","0.82","0.96"
"26","","HCZ Year 1","589","0.5","1.17","-1.76","-1.76","0 (0, 0)","1","1","-1.71","-1.69","0.02 (-0.05, 0.09)","0.6","0.96"
"27","","","","","","","","","","","","","","",""
"28","Ln Th17/IL-10","LAZ Year 1","583","0.34","1.06","-1.27","-1.29","-0.02 (-0.11, 0.07)","0.64","0.94","-1.26","-1.25","0.01 (-0.11, 0.12)","0.92","0.96"
"29","","WAZ Year 1","585","0.34","1.07","-1.13","-1.19","-0.05 (-0.14, 0.04)","0.26","0.89","-1.08","-1.14","-0.05 (-0.13, 0.02)","0.17","0.96"
"30","","WLZ Year 1","583","0.34","1.06","-0.79","-0.76","0.03 (-0.12, 0.18)","0.71","0.94","-0.68","-0.66","0.02 (-0.11, 0.15)","0.77","0.96"
"31","","HCZ Year 1","583","0.34","1.07","-1.76","-1.76","0 (-0.08, 0.08)","0.99","1","-1.69","-1.71","-0.01 (-0.09, 0.06)","0.74","0.96"
"32","","","","","","","","","","","","","","",""
"33","Ln Th1/Th2","LAZ Year 1","589","0.06","0.5","-1.26","-1.33","-0.06 (-0.15, 0.02)","0.15","0.65","-1.27","-1.27","0 (-0.06, 0.07)","0.91","0.96"
"34","","WAZ Year 1","591","0.06","0.5","-1.18","-1.16","0.02 (-0.11, 0.15)","0.78","0.95","-1.17","-1.1","0.07 (-0.05, 0.2)","0.24","0.96"
"35","","WLZ Year 1","589","0.06","0.5","-0.8","-0.76","0.03 (-0.1, 0.17)","0.65","0.94","-0.73","-0.67","0.05 (-0.08, 0.19)","0.47","0.96"
"36","","HCZ Year 1","589","0.06","0.5","-1.73","-1.8","-0.07 (-0.15, 0.01)","0.07","0.47","-1.73","-1.82","-0.1 (-0.31, 0.12)","0.38","0.96"
"37","","","","","","","","","","","","","","",""
"38","Ln Th1/Th17","LAZ Year 1","584","0.18","0.69","-1.27","-1.29","-0.02 (-0.11, 0.07)","0.68","0.94","-1.29","-1.3","0 (-0.07, 0.07)","0.94","0.96"
"39","","WAZ Year 1","586","0.17","0.69","-1.17","-1.16","0.01 (-0.09, 0.11)","0.86","0.95","-1.09","-1.1","-0.01 (-0.16, 0.14)","0.88","0.96"
"40","","WLZ Year 1","584","0.18","0.69","-0.8","-0.76","0.05 (-0.16, 0.25)","0.67","0.94","-0.67","-0.67","0 (-0.18, 0.18)","0.97","0.97"
"41","","HCZ Year 1","584","0.17","0.69","-1.76","-1.82","-0.06 (-0.28, 0.16)","0.61","0.94","-1.7","-1.81","-0.11 (-0.32, 0.1)","0.33","0.96"
"42","","","","","","","","","","","","","","",""
"43","Ln AGP","LAZ Year 1","529","6.61","7.23","-1.21","-1.41","-0.2 (-0.45, 0.05)","0.12","0.62","-1","-1.09","-0.09 (-0.31, 0.14)","0.45","0.96"
"44","","WAZ Year 1","530","6.61","7.23","-1.16","-1.35","-0.19 (-0.42, 0.04)","0.1","0.6","-1.15","-1.17","-0.03 (-0.24, 0.19)","0.82","0.96"
"45","","WLZ Year 1","529","6.61","7.23","-0.81","-0.97","-0.16 (-0.31, -0.02)","0.03","0.21","-0.84","-0.85","-0.01 (-0.15, 0.13)","0.89","0.96"
"46","","HCZ Year 1","529","6.62","7.23","-1.71","-2.13","-0.42 (-0.67, -0.17)","0","0.01","-1.68","-2.1","-0.42 (-0.65, -0.19)","0","0.02"
"47","","","","","","","","","","","","","","",""
