"","name","Outcome","N","25th Percentile","75th Percentile"," Outcome, 75th Percentile v. 25th Percentile"," "," "," "," "," "," "," "," "," "
"1"," "," "," "," "," ","Unadjusted"," "," "," "," ","Fully adjusted"," "," "," "," "
"2"," "," "," "," "," ","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value","Predicted Outcome at 25th Percentile","Predicted Outcome at 75th Percentile","Coefficient (95% CI)","P-value","FDR adjusted P-value"
"3","Ln Pro-inflammatory cytokines/IL-10","LAZ Year 2","520","0.96","1.55","-1.32","-1.33","-0.01 (-0.09, 0.07)","0.79","0.97","-1.51","-1.52","-0.01 (-0.05, 0.03)","0.67","0.92"
"4","","WAZ Year 2","522","0.96","1.55","-1.45","-1.5","-0.05 (-0.12, 0.03)","0.21","0.7","-1.54","-1.56","-0.02 (-0.12, 0.09)","0.75","0.92"
"5","","WLZ Year 2","520","0.96","1.55","-0.97","-1.04","-0.06 (-0.13, 0.01)","0.09","0.41","-1.12","-1.16","-0.04 (-0.09, 0)","0.08","0.55"
"6","","HCZ Year 2","520","0.96","1.55","-1.81","-1.8","0.01 (-0.07, 0.08)","0.87","0.99","-1.9","-1.97","-0.08 (-0.15, 0)","0.05","0.55"
"7","","","","","","","","","","","","","","",""
"8","Ln IL-2/IL-10","LAZ Year 2","515","-3.21","-1.93","-1.32","-1.33","-0.01 (-0.09, 0.08)","0.89","0.99","-1.5","-1.51","-0.01 (-0.05, 0.04)","0.77","0.92"
"9","","WAZ Year 2","517","-3.2","-1.92","-1.46","-1.49","-0.02 (-0.11, 0.06)","0.62","0.97","-1.6","-1.61","-0.01 (-0.05, 0.03)","0.48","0.81"
"10","","WLZ Year 2","515","-3.21","-1.93","-0.99","-1.02","-0.03 (-0.11, 0.05)","0.48","0.97","-1.11","-1.13","-0.02 (-0.2, 0.16)","0.85","0.96"
"11","","HCZ Year 2","515","-3.21","-1.93","-1.79","-1.79","0 (0, 0)","1","1","-1.92","-1.85","0.07 (-0.06, 0.2)","0.27","0.65"
"12","","","","","","","","","","","","","","",""
"13","Ln GM-CSF/IL-10","LAZ Year 2","523","1.17","2.35","-1.29","-1.44","-0.16 (-0.41, 0.1)","0.24","0.71","-1.51","-1.47","0.04 (-0.01, 0.09)","0.08","0.55"
"14","","WAZ Year 2","525","1.17","2.34","-1.48","-1.45","0.03 (-0.07, 0.12)","0.6","0.97","-1.63","-1.59","0.04 (-0.01, 0.08)","0.12","0.55"
"15","","WLZ Year 2","523","1.17","2.35","-1.02","-0.99","0.03 (-0.06, 0.12)","0.57","0.97","-1.15","-1.14","0 (-0.06, 0.07)","0.91","0.96"
"16","","HCZ Year 2","523","1.17","2.35","-1.86","-1.74","0.12 (0.03, 0.21)","0.01","0.15","-1.95","-1.93","0.02 (-0.04, 0.09)","0.53","0.82"
"17","","","","","","","","","","","","","","",""
"18","Ln Th1/IL-10","LAZ Year 2","522","0.86","1.35","-1.31","-1.33","-0.03 (-0.1, 0.05)","0.49","0.97","-1.49","-1.49","0 (-0.04, 0.04)","0.98","0.98"
"19","","WAZ Year 2","524","0.86","1.35","-1.44","-1.5","-0.06 (-0.13, 0.01)","0.1","0.41","-1.58","-1.61","-0.03 (-0.06, 0.01)","0.14","0.57"
"20","","WLZ Year 2","522","0.86","1.35","-0.97","-1.04","-0.06 (-0.13, 0)","0.06","0.33","-1.13","-1.16","-0.03 (-0.08, 0.02)","0.2","0.59"
"21","","HCZ Year 2","522","0.86","1.35","-1.8","-1.8","0.01 (-0.06, 0.08)","0.87","0.99","-1.95","-1.93","0.03 (-0.02, 0.07)","0.22","0.63"
"22","","","","","","","","","","","","","","",""
"23","Ln Th2/IL-10","LAZ Year 2","521","0.5","1.21","-1.33","-1.32","0.02 (-0.07, 0.11)","0.73","0.97","-1.5","-1.5","0 (-0.05, 0.05)","0.94","0.96"
"24","","WAZ Year 2","523","0.5","1.21","-1.46","-1.48","-0.02 (-0.1, 0.07)","0.68","0.97","-1.57","-1.6","-0.03 (-0.07, 0.01)","0.17","0.57"
"25","","WLZ Year 2","521","0.5","1.21","-0.97","-1.03","-0.06 (-0.14, 0.02)","0.17","0.64","-1.12","-1.15","-0.03 (-0.08, 0.02)","0.29","0.67"
"26","","HCZ Year 2","521","0.5","1.21","-1.82","-1.79","0.03 (-0.05, 0.11)","0.51","0.97","-1.93","-1.88","0.05 (-0.06, 0.17)","0.36","0.78"
"27","","","","","","","","","","","","","","",""
"28","Ln Th17/IL-10","LAZ Year 2","515","0.35","1.07","-1.32","-1.36","-0.04 (-0.13, 0.05)","0.35","0.94","-1.51","-1.52","-0.01 (-0.06, 0.04)","0.69","0.92"
"29","","WAZ Year 2","517","0.34","1.07","-1.46","-1.53","-0.07 (-0.16, 0.01)","0.09","0.41","-1.59","-1.62","-0.03 (-0.07, 0.01)","0.12","0.55"
"30","","WLZ Year 2","515","0.35","1.07","-1.01","-1.01","0 (-0.14, 0.15)","0.98","1","-1.11","-1.13","-0.02 (-0.09, 0.05)","0.6","0.88"
"31","","HCZ Year 2","515","0.35","1.07","-1.79","-1.8","-0.02 (-0.1, 0.07)","0.71","0.97","-1.89","-1.95","-0.06 (-0.14, 0.01)","0.1","0.55"
"32","","","","","","","","","","","","","","",""
"33","Ln Th1/Th2","LAZ Year 2","521","0.03","0.5","-1.31","-1.36","-0.04 (-0.14, 0.06)","0.42","0.97","-1.49","-1.5","-0.02 (-0.06, 0.02)","0.42","0.81"
"34","","WAZ Year 2","523","0.03","0.5","-1.48","-1.5","-0.02 (-0.13, 0.09)","0.7","0.97","-1.6","-1.59","0 (-0.04, 0.04)","0.89","0.96"
"35","","WLZ Year 2","521","0.03","0.5","-1.03","-1.02","0.01 (-0.12, 0.15)","0.85","0.99","-1.11","-1.13","-0.02 (-0.1, 0.06)","0.56","0.84"
"36","","HCZ Year 2","521","0.03","0.5","-1.8","-1.8","0 (0, 0)","1","1","-1.93","-1.89","0.04 (-0.01, 0.08)","0.1","0.55"
"37","","","","","","","","","","","","","","",""
"38","Ln Th1/Th17","LAZ Year 2","515","0.18","0.7","-1.37","-1.33","0.04 (-0.07, 0.15)","0.47","0.97","-1.51","-1.5","0 (-0.04, 0.04)","0.93","0.96"
"39","","WAZ Year 2","517","0.18","0.7","-1.49","-1.48","0.01 (-0.07, 0.1)","0.74","0.97","-1.52","-1.61","-0.09 (-0.21, 0.03)","0.16","0.57"
"40","","WLZ Year 2","515","0.18","0.7","-0.97","-1.03","-0.06 (-0.26, 0.14)","0.58","0.97","-1.04","-1.1","-0.07 (-0.23, 0.09)","0.41","0.81"
"41","","HCZ Year 2","515","0.18","0.7","-1.8","-1.78","0.02 (-0.07, 0.11)","0.63","0.97","-1.94","-1.89","0.05 (0.01, 0.1)","0.01","0.55"
"42","","","","","","","","","","","","","","",""
"43","Ln AGP","LAZ Year 2","470","6.62","7.24","-1.32","-1.49","-0.16 (-0.3, -0.02)","0.02","0.18","-1.65","-1.65","-0.01 (-0.09, 0.08)","0.9","0.96"
"44","","WAZ Year 2","472","6.62","7.24","-1.52","-1.65","-0.13 (-0.26, 0)","0.04","0.29","-1.45","-1.44","0.01 (-0.11, 0.13)","0.83","0.96"
"45","","WLZ Year 2","470","6.62","7.24","-1.06","-1.08","-0.02 (-0.13, 0.09)","0.78","0.97","-1.02","-0.98","0.03 (-0.13, 0.2)","0.7","0.92"
"46","","HCZ Year 2","470","6.62","7.24","-1.78","-1.96","-0.18 (-0.29, -0.06)","0","0.05","-1.98","-1.85","0.13 (0.01, 0.26)","0.04","0.55"
"47","","","","","","","","","","","","","","",""
